파일명,보험코드,성공,보험기간,납입기간,가입나이,갱신,코드수
UW16932.pdf,16932,False,False,False,False,False,0
UW17027.pdf,17027,False,False,False,False,False,0
UW17037.pdf,17037,False,False,False,False,False,0
UW17147.pdf,17147,False,False,False,False,False,0
UW17153.pdf,17153,False,False,False,False,False,0
UW17212.pdf,17212,False,False,False,False,False,0
UW17215.pdf,17215,False,False,False,False,False,0
UW17232.pdf,17232,False,False,False,False,False,0
UW18108.pdf,18108,False,False,False,False,False,0
UW19771.pdf,19771,False,False,False,False,False,0
UW20307.pdf,20307,False,False,False,False,False,0
UW20908.pdf,20908,False,False,False,False,False,0
UW21121.pdf,21121,False,False,False,False,False,0
UW21140.pdf,21140,False,False,False,False,False,0
UW21239.pdf,21239,False,False,False,False,False,0
UW21385.pdf,21385,False,False,False,False,False,0
UW21492.pdf,21492,False,False,False,False,False,0
UW21619.pdf,21619,False,False,False,False,False,0
UW21621.pdf,21621,False,False,False,False,False,0
UW21815.pdf,21815,False,False,False,False,False,0
UW21819.pdf,21819,False,False,False,False,False,0
UW21828.pdf,21828,False,False,False,False,False,0
UW21843.pdf,21843,False,False,False,False,False,0
UW21867.pdf,21867,False,False,False,False,False,0
UW21893.pdf,21893,False,False,False,False,False,0
UW21929.pdf,21929,False,False,False,False,False,0
