파일명,보험코드,성공,보험기간,납입기간,가입나이,갱신,코드수
UW16932.pdf,16932,True,True,True,True,False,0
UW17027.pdf,17027,True,False,False,False,False,7
UW17037.pdf,17037,True,False,False,False,False,7
UW17147.pdf,17147,True,True,True,True,False,10
UW17153.pdf,17153,True,True,True,True,False,10
UW17212.pdf,17212,True,False,False,False,False,0
UW17215.pdf,17215,True,False,False,False,False,9
UW17232.pdf,17232,True,False,False,False,False,0
UW18108.pdf,18108,True,True,True,True,False,0
UW19771.pdf,19771,True,True,True,True,True,356
UW20307.pdf,20307,True,True,True,True,True,0
UW20908.pdf,20908,True,False,False,False,False,0
UW21121.pdf,21121,True,True,True,True,False,18
UW21140.pdf,21140,True,False,False,False,False,0
UW21239.pdf,21239,True,False,False,False,False,93
UW21385.pdf,21385,True,False,False,False,False,977
UW21492.pdf,21492,True,False,False,False,False,977
UW21619.pdf,21619,True,False,False,False,False,678
UW21621.pdf,21621,True,True,True,True,False,9
UW21815.pdf,21815,True,False,False,False,False,678
UW21819.pdf,21819,True,False,False,False,False,6
UW21828.pdf,21828,True,False,False,False,False,28
UW21843.pdf,21843,True,True,True,True,False,0
UW21867.pdf,21867,True,False,False,False,False,0
UW21893.pdf,21893,True,False,False,False,False,678
UW21929.pdf,21929,True,False,False,False,False,0
